instance163.gr: cost: 7089.00, avg_time: 33.17 ms, avg-memory: 4556.27 KB, runs: 1000
instance164.gr: cost: 7094.00, avg_time: 34.87 ms, avg-memory: 4556.97 KB, runs: 1000
instance165.gr: cost: 7068.00, avg_time: 34.11 ms, avg-memory: 4556.26 KB, runs: 1000
instance166.gr: cost: 3900431.00, avg_time: 12.41 ms, avg-memory: 3691.74 KB, runs: 1000
instance167.gr: cost: 4700349.00, avg_time: 12.50 ms, avg-memory: 3684.24 KB, runs: 1000
instance168.gr: cost: 874.00, avg_time: 12.82 ms, avg-memory: 3821.25 KB, runs: 1000
instance169.gr: cost: 4700329.00, avg_time: 12.46 ms, avg-memory: 3569.80 KB, runs: 1000
instance170.gr: cost: 4700377.00, avg_time: 12.51 ms, avg-memory: 3688.88 KB, runs: 1000
instance171.gr: cost: 54.00, avg_time: 12.67 ms, avg-memory: 3566.07 KB, runs: 1000
instance172.gr: cost: 10605.00, avg_time: 12.62 ms, avg-memory: 3570.11 KB, runs: 1000
instance173.gr: cost: 106.00, avg_time: 12.61 ms, avg-memory: 3564.09 KB, runs: 1000
instance174.gr: cost: 4800316.00, avg_time: 12.24 ms, avg-memory: 3563.91 KB, runs: 1000
instance175.gr: cost: 4300338.00, avg_time: 12.31 ms, avg-memory: 3565.37 KB, runs: 1000
instance176.gr: cost: 11025.00, avg_time: 24.29 ms, avg-memory: 5997.22 KB, runs: 1000
instance177.gr: cost: 4300442.00, avg_time: 12.35 ms, avg-memory: 3565.34 KB, runs: 1000
instance178.gr: cost: 5000348.00, avg_time: 12.20 ms, avg-memory: 3565.51 KB, runs: 1000
instance179.gr: cost: 1343.00, avg_time: 16.20 ms, avg-memory: 4553.02 KB, runs: 1000
instance180.gr: cost: 5300448.00, avg_time: 12.61 ms, avg-memory: 3693.18 KB, runs: 1000
instance181.gr: cost: 23681.00, avg_time: 49.00 ms, avg-memory: 10436.59 KB, runs: 851
instance182.gr: cost: 5000544.00, avg_time: 12.40 ms, avg-memory: 3568.91 KB, runs: 1000
instance183.gr: cost: 1155.00, avg_time: 14.40 ms, avg-memory: 4205.46 KB, runs: 1000
instance184.gr: cost: 3651.00, avg_time: 55.97 ms, avg-memory: 11743.17 KB, runs: 611
instance185.gr: cost: 5500477.00, avg_time: 12.58 ms, avg-memory: 3696.68 KB, runs: 1000
instance186.gr: cost: 7424.00, avg_time: 13.92 ms, avg-memory: 3948.14 KB, runs: 1000
instance187.gr: cost: 6300511.00, avg_time: 15.52 ms, avg-memory: 4198.82 KB, runs: 1000
instance188.gr: cost: 6100499.00, avg_time: 12.56 ms, avg-memory: 3696.01 KB, runs: 1000
instance189.gr: cost: 22492.00, avg_time: 54.60 ms, avg-memory: 10432.88 KB, runs: 916
instance190.gr: cost: 6300406.00, avg_time: 15.42 ms, avg-memory: 4077.43 KB, runs: 1000
instance191.gr: cost: 1723.00, avg_time: 17.91 ms, avg-memory: 4848.03 KB, runs: 1000
instance192.gr: cost: 4487.00, avg_time: 69.35 ms, avg-memory: 12694.93 KB, runs: 721
instance193.gr: cost: 6600461.00, avg_time: 15.25 ms, avg-memory: 3810.51 KB, runs: 1000
instance194.gr: cost: 7400216.00, avg_time: 14.37 ms, avg-memory: 3827.64 KB, runs: 1000
instance195.gr: cost: 60.00, avg_time: 13.10 ms, avg-memory: 3818.92 KB, runs: 1000
instance196.gr: cost: 119.00, avg_time: 17.98 ms, avg-memory: 3947.87 KB, runs: 1000
instance197.gr: cost: 4557.00, avg_time: 125.48 ms, avg-memory: 12031.27 KB, runs: 399
instance198.gr: cost: 5638.00, avg_time: 85.72 ms, avg-memory: 7924.88 KB, runs: 584
instance199.gr: cost: 5527.00, avg_time: 83.74 ms, avg-memory: 7621.70 KB, runs: 588
instance200.gr: cost: 6875.00, avg_time: 99.66 ms, avg-memory: 8027.78 KB, runs: 502
